,county,province_state,country_region,confirmed,deaths
0,Inmates,Federal Bureau of Prisons,US,10525,103
1,Staff,Federal Bureau of Prisons,US,1167,1
2,Apache(AZ),Navajo Nation,US,889,0
3,Bernalillo(NM),Navajo Nation,US,3,0
4,Cibola(NM),Navajo Nation,US,37,0
5,Coconino(AZ),Navajo Nation,US,335,0
6,McKinley(NM),Navajo Nation,US,912,0
7,Navajo(AZ),Navajo Nation,US,697,0
8,San Juan(NM),Navajo Nation,US,410,0
9,San Juan(UT),Navajo Nation,US,57,0
10,Sandoval(NM),Navajo Nation,US,21,0
11,Socorro(NM),Navajo Nation,US,26,0
12,Unassigned,Navajo Nation,US,5581,453
13,Countytba,New Hampshire,US,0,0
14,Air Force,US Military,US,6169,8
15,Army,US Military,US,8878,2
16,Marine Corps,US Military,US,3110,0
17,Navy,US Military,US,8107,18
18,Unassigned,US Military,US,11560,30
19,Unassigned,Unassigned,US,0,0
20,VA Hospitals,Veteran Affair,US,38022,2071
21,Unassigned,Wuhan Evacuee,US,4,0
22,State,Florida,US,451423,6333
23,International,Colorado,US,18,0
24,Total,Colorado,US,45796,1822
25,Nueva York,Puerto Rico,US,0,0
26,Nueva Jersey,Puerto Rico,US,0,0
27,Texas,Puerto Rico,US,0,0
28,Ohio,Puerto Rico,US,0,0
29,Massachusetts,Puerto Rico,US,0,0
30,,Australia,Australia,16303,189
31,,,World,17194261,670294
32,,NACIONAL,Mexico,408449,45361
33,,Crimea Republic*,Russia,1139,15
34,,Sevastopol*,Russia,342,8
35,,dummy,Sweden,10000000,1000000
36,,Telengana,India,58906,492
